,Review Text,Review Date,Star Ratings,Review Website,Brand Name
30,"Best in class, good infotainment system, smooth driving and feels like a premium one. For only who can afford it.","On: Dec 14, 2019 | 70 Views",,www.cardekho.com,Kia Seltos
31,The affordable SUV car is so comfortable and it has many functions. It has a sunroof as well. Also available at the cheapest rate as compared to the Venue.,"On: Dec 14, 2019 | 67 Views",,www.cardekho.com,Kia Seltos
32,I love the interior of this car This is perfect for the family and It is an affordable good looking car. The front-facing is superb.,"On: Dec 13, 2019 | 47 Views",,www.cardekho.com,Kia Seltos
33,"It's a nice car and really worth the price. It looks fantastic when it runs like a cheetah on the road. Talking about the safety of the car, absolutely safe car. Power and horsepower are really very powerful. Boot space is also very huge. Radio screen of 8 inches looks perfect and the speakers of BOSE give a clear voice and it has mood light also w...Read More","On: Dec 13, 2019 | 1754 Views",,www.cardekho.com,Kia Seltos
34,"The car gets at the top speed in no time, it is a great car to get the money worth. The Seltos is amazingly featured as well.","On: Dec 13, 2019 | 473 Views",,www.cardekho.com,Kia Seltos
35,This car is very excellent in this price range because in this car there are more additional features.,"On: Dec 13, 2019 | 55 Views",,www.cardekho.com,Kia Seltos
36,"Yes, the HTX variants of Kia Seltos has music system installed in it.","On: Dec 13, 2019 | 48 Views",,www.cardekho.com,Kia Seltos
37,Very Nice car and feels like luxurious looking XUV. Very comfortable and amazing features. ,"On: Dec 13, 2019 | 43 Views",,www.cardekho.com,Kia Seltos
38,SELTOS HAS GIVEN A BIG COMPETITION TO HYUNDAI CRETA IN THIS SEGMENT. THE KIA IS ABSOLUTELY THE KING.,"On: Dec 13, 2019 | 47 Views",,www.cardekho.com,Kia Seltos
39,"Such an Impeccable Machine with flawless drive, Indomitable power, eye-catching design, and Hushed Engine. Its a feeling of some luxury segment at very competitive pricing. Moreover Interior is just mind-blowing with such soothing acoustic sound. Pocket-friendly for all mileage concern buyers as it easily churns 18 km-22 km per liter depending on c...Read More","On: Dec 13, 2019 | 38 Views",,www.cardekho.com,Kia Seltos
40,"Wonderfull look this car has, interiors are mind-blowing. This car is fully loaded with multiple features.","On: Dec 13, 2019 | 358 Views",,www.cardekho.com,Kia Seltos
41,I had fun while test driving the demon. A good one with awesome driving excellence. Great build quality and control.,"On: Dec 13, 2019 | 58 Views",,www.cardekho.com,Kia Seltos
42,"This car is a very silent and very nice car. It has many new, useful features. Quite spacious as well.","On: Dec 13, 2019 | 53 Views",,www.cardekho.com,Kia Seltos
43,"A car that is built to conquer the mid-size SUV segment. With all the bells and whistles coming in terms of features and power(1.4 turbo petrol) combined with the variety to choose from, be it types of transmission options and varients and also color options, made to be unique for almost every masterpiece made making it an extreme value for money p...Read More","Expected Launch: Jan 01, 2020",,www.cardekho.com,Kia Seltos
44,"The Kia Seltos has a very different design, and very much comfortable. ","Expected Launch: Jun 01, 2020",,www.cardekho.com,Kia Seltos
45,Great performance with dashing looks.,"Expected Launch: Dec 01, 2021",,www.cardekho.com,Kia Seltos
46,"The car looks like SUV but not the real SUV. The petrol engine never makes any noise but here I can see unexpected things. IVT is lazy. Manual petrol and 1.4 is good. Diesel major looks difference from petrol even the grill and the bumper not matching with. Petrol 1.4 and diesel have all the disc brake, not the other petrol. Bose speaker is only av...Read More","Expected Launch: Jun 01, 2020",,www.cardekho.com,Kia Seltos
47,"Very excellent car, the look of the car is impressive and the ride and handling quality is awesome. The interior of the car is so classy, every look of car is so commendable. The color combinations of the car are too good. The alloy of car is mind-blowing and boot space is very much spacious. Read More","Expected Launch: Oct 15, 2020",,www.cardekho.com,Kia Seltos
48,Very good car with a fantastic front look and have a great boot space. Have sufficient leg space at the back.,"On: Dec 12, 2019 | 46 Views",,www.cardekho.com,Kia Seltos
49,"Fully feature-loaded SUV. Kia has done excellent work for Indian customers. 5-star for its look, features, and performance.","On: Dec 12, 2019 | 49 Views",,www.cardekho.com,Kia Seltos
50,"I'm driving the Kia Seltos HTK+ Diesel model. Overall the car is best. I have driven it 6500kms, but still no issue. Pick up is great. Mileage is around 21kms also best on bad roads. The car is best on curve road to have great grip. Infotainment is good. Some issues with Android Auto gets disconnected within1hr. But with a software update, it will ...Read More","On: Dec 12, 2019 | 919 Views",,www.cardekho.com,Kia Seltos
51,It's a pleasure to sit in the car and treats me like a king.,"On: Dec 12, 2019 | 48 Views",,www.cardekho.com,Kia Seltos
52,Smooth driving and luxurious car.,"On: Dec 12, 2019 | 44 Views",,www.cardekho.com,Kia Seltos
53,"Satisfying ride, comfortable seats, powerful beast. I tried other cars in the same price range but no one was comforting as this one.","On: Dec 12, 2019 | 46 Views",,www.cardekho.com,Kia Seltos
54,Most popular car in the world because of looks. Its look is very good and has many features that contain In-car 50-liter storage to fill tanks and many features. This car drives smoothly and this car is best for buying. Read More,"On: Dec 12, 2019 | 205 Views",for HTK Plus G,www.cardekho.com,Kia Seltos
55,I just bought the one but the mileage of the car is not satisfactory. It doesn't give more than 12km/ltr.,"On: Dec 12, 2019 | 35 Views",,www.cardekho.com,Kia Seltos
56,"New in the Indian market, Kia Seltos is everything that one needs in a mid-size SUV. Value for money, indeed.","On: Dec 12, 2019 | 40 Views",,www.cardekho.com,Kia Seltos
57,"Fantastic tuned engine, hi-tech entertainment system, great build quality, comfortable seats and decor, first time ever air filters in the car and brilliant suspension. I have been driving Seltos HTX Diesel for 1000 km now and the car never ceases to surprise. More airbags could have helped and the rear seat could have been a bit longer for support...Read More","On: Dec 12, 2019 | 721 Views",,www.cardekho.com,Kia Seltos
58,"Good car with the futuristic and latest tech, appealing to masses especially gen x,y, and z. Looks sturdy, has road presence and a differentiator when runs on the road, a masculine look which is attracting most of the young people. Multiple variants and both manual and auto transmission options make it a top seller. The only area where it needs to ...Read More","On: Dec 12, 2019 | 97 Views",,www.cardekho.com,Kia Seltos
59,"It's a good looking car, nice performance, comfort level is good and luxurious. The interior is very attractive and of good quality.","On: Dec 11, 2019 | 54 Views",,www.cardekho.com,Kia Seltos
60,"Very good car in budget with the best performance, low maintenance and undoubtedly controlling is also very well.","On: Dec 11, 2019 | 58 Views",,www.cardekho.com,Kia Seltos
61,"A very good car, in this price tag they gave all premium interiors but the only thing petrol DCT transmission heats up.","On: Dec 11, 2019 | 188 Views",,www.cardekho.com,Kia Seltos
62,These new entrants are not as per the safety norms. Only features and comprising on safety. People in India are not looking at safety ratings while purchasing a car like playing with life. This is well understood by these vehicle manufacturers and hence they are putting only features. I think safety should be first. Read More,"On: Dec 11, 2019 | 55 Views",,www.cardekho.com,Kia Seltos
63,"If we talk about the overall ratings of Seltos, no one can give a proper review. When I started the engine, the sound was so negligible that I cannot tell you the silence in the cabin. The power to thrust ratio is well explained in this Car. Even if you scale at 3rd gear. The engine seems to be smooth and amazing. I would suggest Seltos over The He...Read More","On: Dec 11, 2019 | 64 Views",,www.cardekho.com,Kia Seltos
64,"The car is great at handling and suspension is set good for the Indian roads. Good design in exterior as well as interior, The engine shows good aggressiveness in the real world. Offroad experience is good too because of the suspension and the projector headlights. The space that the car offers in the second row and in the boot is pretty good. The ...Read More","On: Dec 11, 2019 | 45 Views",,www.cardekho.com,Kia Seltos
65,"Excellent SUV with modern technology, style, performance, handling, comfort. Perfect vehicle by Kia. Impressed with the long list of features including Head's up display, Air purifier, 360 camera with the blind-spot camera. Kia plays a key role in the Indian market. Read More","On: Dec 11, 2019 | 296 Views",,www.cardekho.com,Kia Seltos
66,"Kia Seltos is providing all features in under 10 lakh price range. An awesome car as compared to other cars. Mostly, getting all the safety features in this car.","On: Dec 11, 2019 | 78 Views",,www.cardekho.com,Kia Seltos
